date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:46:22	174/174	---M--	200	added ('OK')	text/plain	etag:%22ae-68a2da8e-580e92acaf4c7fd4;;;%22	https://stockpulsefx.techvardha.com/robots.txt		(from )
12:46:22	1289/1289	---M-Z	200	added ('OK')	text/html	etag:%22509-68a2da8e-d4977feadc2a96d5;gz%22	https://stockpulsefx.techvardha.com/	G:/projects/pulse/stockpulsefx.techvardha.com/index.html	(from )
12:46:25	134024/134024	---M-Z	200	added ('OK')	text/css	etag:%2220b88-68a2da92-8a9a95b5d1dbce2d;gz%22	https://stockpulsefx.techvardha.com/assets/index-BfYkFucf.css	G:/projects/pulse/stockpulsefx.techvardha.com/assets/index-BfYkFucf.css	(from https://stockpulsefx.techvardha.com/)
12:46:25	289996/289996	---M-Z	200	added ('OK')	application/x-javascript	etag:%2246ccc-68a2da92-24cc0981e80200da;gz%22	https://stockpulsefx.techvardha.com/assets/index-B1KGZ00m.js	G:/projects/pulse/stockpulsefx.techvardha.com/assets/index-B1KGZ00m.js	(from https://stockpulsefx.techvardha.com/)
12:46:26	993206/993206	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Sep%202025%2016:46:23%20GMT	https://lovable.dev/opengraph-image-p98pqg.png	G:/projects/pulse/lovable.dev/opengraph-image-p98pqg.png	(from https://stockpulsefx.techvardha.com/)
12:46:26	61/61	---M--	200	added ('OK')	application/x-javascript	etag:%223d-68a2da94-8ff643106758a942;;;%22	https://stockpulsefx.techvardha.com/assets/trading-hero-bg-Cr4hsduN.js	G:/projects/pulse/stockpulsefx.techvardha.com/assets/trading-hero-bg-Cr4hsduN.js	(from https://stockpulsefx.techvardha.com/assets/index-B1KGZ00m.js)
12:46:27	4925/4925	---M-Z	200	added ('OK')	application/x-javascript	etag:%22133d-68a2da93-1459236cb13ca7f8;gz%22	https://stockpulsefx.techvardha.com/assets/steps-CItKYbv_.js	G:/projects/pulse/stockpulsefx.techvardha.com/assets/steps-CItKYbv_.js	(from https://stockpulsefx.techvardha.com/assets/index-B1KGZ00m.js)
12:46:27	419/419	---M-Z	200	added ('OK')	application/x-javascript	etag:%221a3-68a2da8f-c9c7619cc6ecb68a;gz%22	https://stockpulsefx.techvardha.com/assets/chart-column-BwH54zLG.js	G:/projects/pulse/stockpulsefx.techvardha.com/assets/chart-column-BwH54zLG.js	(from https://stockpulsefx.techvardha.com/assets/index-B1KGZ00m.js)
12:46:28	411/411	---M-Z	200	added ('OK')	application/x-javascript	etag:%2219b-68a2da90-612aa5b7e8d37702;gz%22	https://stockpulsefx.techvardha.com/assets/globe-B5ier1Bn.js	G:/projects/pulse/stockpulsefx.techvardha.com/assets/globe-B5ier1Bn.js	(from https://stockpulsefx.techvardha.com/assets/index-B1KGZ00m.js)
12:46:28	431/431	---M-Z	200	added ('OK')	application/x-javascript	etag:%221af-68a2da94-e7fe375ccc56ed5;gz%22	https://stockpulsefx.techvardha.com/assets/zap-ClZg8-XC.js	G:/projects/pulse/stockpulsefx.techvardha.com/assets/zap-ClZg8-XC.js	(from https://stockpulsefx.techvardha.com/assets/index-B1KGZ00m.js)
